timestamp,apower_value,aenergy_value
1729236711,4.4,4.9
1729238401,25.1,9.1
1729239302,12.9,13.4
1729240201,8.7,16.4
1729241101,11.4,19.3
1729242002,34.4,23.5
1729242901,46.1,34.3
1729244702,188.0,75.3
1729245601,273.8,120.0
1729246501,124.4,174.7
1729247402,53.8,191.7
1729248301,50.5,203.8
1729249201,31.7,213.5
1729250102,126.1,232.1
1729251001,58.9,252.0
1729251901,30.5,263.6
1729252802,38.4,274.4
1729253701,59.2,286.2
1729254601,41.5,297.9
1729255502,38.4,308.6
1729256401,19.0,314.9
1729257301,35.7,321.2
1729258202,46.2,330.6
1729259102,42.3,342.7
1729260001,31.7,351.2
1729260902,39.2,361.5
1729261802,26.9,368.6
1729262701,21.6,374.5
1729263601,15.8,379.5
1729264502,24.6,384.1
1729265401,20.6,390.4
1729266301,4.8,393.3
1729267202,2.9,394.0
1729268101,0.4,394.5
1729269001,0.0,394.5
1729269902,0.0,394.5
1729270801,0.0,394.5
1729271701,0.2,394.5
1729272602,0.0,394.5
1729273501,0.1,394.5
1729274401,0.2,394.5
1729275302,0.0,394.5
1729276201,0.2,394.5
1729277101,0.0,394.5
1729278002,0.0,394.5
1729278901,0.0,394.5
1729279801,0.0,394.5
1729280702,0.0,394.5
1729281601,0.2,394.5
1729282501,0.0,394.5
1729283402,0.3,394.5
1729284301,0.0,394.5
1729285201,0.2,394.5
1729286102,0.0,394.5
1729287001,0.3,394.5
1729287902,0.0,394.5
1729288801,0.0,0.0
1729289702,0.2,0.0
1729290601,0.0,0.0
1729291501,0.0,0.0
1729292402,0.2,0.0
1729293302,0.2,0.0
1729294201,0.0,0.0
1729295101,0.0,0.0
1729296001,0.0,0.0
1729296901,0.0,0.0
1729297802,0.2,0.0
1729298702,0.0,0.0
1729300502,0.0,0.0
1729301401,0.2,0.0
1729302301,0.0,0.0
1729303202,0.2,0.0
1729304101,0.0,0.0
1729305001,0.0,0.0
1729305902,0.0,0.0
1729306801,0.4,0.0
1729307701,0.2,0.0
1729308602,0.0,0.0
1729309501,0.0,0.0
1729310402,0.2,0.0
1729311302,0.0,0.0
1729312201,0.2,0.0
1729313101,0.0,0.0
1729314002,0.2,0.0
1729314901,0.5,0.0
1729315801,0.3,0.0
1729316702,0.4,0.0
1729317601,0.0,0.0
1729318501,0.0,0.0
1729319402,0.4,0.0
1729320301,2.8,0.0
1729321201,6.5,0.0
1729322102,10.8,1.4
